Gender,Education_Level,Years_of_Experience,Country,Race,Job_Title_Vec_1,Job_Title_Vec_2,Job_Title_Vec_3,Job_Title_Vec_4,Job_Title_Vec_5,Salary
1,0,5.0,3,4,0,0,0,13,12,90000.0
0,2,3.0,4,2,0,0,0,14,5,65000.0
1,3,15.0,1,4,0,0,0,1,2,150000.0
0,0,7.0,4,2,0,0,0,10,36,60000.0
1,2,20.0,4,0,0,0,0,0,6,200000.0
1,0,2.0,4,2,0,0,0,4,5,55000.0
0,2,12.0,4,0,0,0,0,16,2,120000.0
1,0,4.0,2,0,0,0,0,10,2,80000.0
0,0,1.0,2,0,0,0,0,4,11,45000.0
1,3,10.0,0,4,0,0,0,1,20,110000.0
1,2,3.0,3,4,0,0,0,13,17,75000.0
0,0,18.0,3,0,0,0,0,15,2,140000.0
1,0,6.0,2,0,0,0,0,21,5,65000.0
0,2,14.0,4,1,0,0,0,22,2,130000.0
1,0,2.0,1,0,0,0,25,37,45,40000.0
1,0,16.0,2,0,0,0,0,9,2,125000.0
0,2,7.0,4,0,0,0,0,4,2,90000.0
1,3,12.0,3,3,0,0,0,1,12,115000.0
0,0,0.0,3,0,0,0,14,62,63,35000.0
1,0,22.0,0,0,0,0,0,10,6,180000.0
0,2,5.0,2,0,0,0,0,18,5,80000.0
1,2,19.0,3,4,0,0,0,46,9,190000.0
1,0,2.0,3,0,0,0,0,26,28,50000.0
0,0,9.0,2,4,0,0,0,0,38,60000.0
1,2,13.0,4,1,0,0,0,21,2,140000.0
0,0,3.0,1,4,0,0,27,29,8,45000.0
0,2,11.0,0,0,0,0,0,13,2,110000.0
1,0,1.0,0,0,0,0,0,3,17,40000.0
0,3,15.0,1,1,0,0,0,1,39,140000.0
1,2,6.0,2,0,0,0,0,16,19,90000.0
0,0,4.0,3,4,0,0,0,0,40,55000.0
1,2,3.0,4,2,0,0,0,14,20,75000.0
0,0,10.0,1,4,0,0,0,4,8,65000.0
1,3,20.0,4,2,0,0,0,1,2,170000.0
1,0,2.0,0,0,0,0,0,41,65,45000.0
0,0,7.0,3,4,0,0,0,15,31,60000.0
1,2,14.0,2,4,0,0,0,22,12,115000.0
0,0,1.0,1,0,0,0,25,47,45,40000.0
1,0,21.0,2,4,0,0,0,10,48,160000.0
0,2,5.0,3,0,0,0,0,32,19,80000.0
1,2,18.0,1,1,0,0,0,9,6,190000.0
1,0,3.0,2,0,0,0,0,66,12,60000.0
0,0,8.0,3,0,0,0,0,67,68,45000.0
1,2,13.0,3,0,0,0,0,69,39,130000.0
0,0,2.0,4,4,0,0,0,0,49,40000.0
1,0,5.0,0,0,0,0,0,33,2,75000.0
0,2,16.0,3,4,0,0,0,6,4,180000.0
1,3,11.0,0,0,0,0,0,1,20,120000.0
1,0,0.0,4,0,0,0,70,71,5,35000.0
0,0,22.0,2,0,0,0,25,37,2,130000.0
1,2,7.0,0,4,0,0,18,72,5,85000.0
0,0,12.0,2,4,0,0,0,73,11,60000.0
1,2,19.0,0,0,0,0,0,46,50,200000.0
0,0,3.0,1,1,0,0,0,51,19,50000.0
1,0,9.0,2,0,0,0,0,10,2,95000.0
0,2,2.0,1,4,0,0,0,32,52,65000.0
1,3,17.0,4,2,0,0,0,1,12,140000.0
0,0,4.0,1,4,0,0,27,29,2,55000.0
1,2,7.0,1,0,0,0,0,16,2,105000.0
0,2,23.0,4,1,0,0,0,6,9,170000.0
1,0,3.0,2,0,0,0,0,4,5,50000.0
0,0,12.0,2,0,0,0,0,15,2,80000.0
1,3,21.0,2,4,0,0,1,14,20,180000.0
1,0,1.0,0,4,0,0,0,3,40,35000.0
0,2,10.0,2,0,0,0,42,4,2,90000.0
1,0,19.0,0,4,0,0,0,26,2,120000.0
0,0,5.0,1,0,0,0,25,37,34,45000.0
1,2,8.0,1,0,0,0,18,30,2,90000.0
0,2,18.0,1,4,0,0,1,21,5,150000.0
1,0,6.0,4,2,0,0,0,43,17,65000.0
0,0,11.0,4,0,0,0,0,0,38,70000.0
1,3,16.0,3,3,0,0,0,35,6,190000.0
1,0,2.0,2,0,0,0,41,28,8,40000.0
0,2,14.0,1,1,0,0,0,74,6,120000.0
1,0,10.0,4,0,0,0,0,22,2,95000.0
0,0,22.0,4,4,0,0,0,9,2,160000.0
1,2,6.0,4,1,0,0,1,13,12,100000.0
0,2,20.0,1,1,0,0,23,24,6,180000.0
0,0,3.0,0,4,0,0,53,4,2,55000.0
1,0,8.0,3,0,0,0,0,41,38,70000.0
0,2,13.0,4,4,0,0,0,14,5,80000.0
1,0,0.0,0,0,0,0,0,10,34,30000.0
0,0,2.0,0,0,0,0,0,3,19,40000.0
0,2,10.0,3,4,0,0,0,21,44,95000.0
1,0,2.0,1,4,0,0,3,33,2,45000.0
0,0,15.0,4,2,0,0,0,15,31,80000.0
1,2,21.0,1,0,0,0,1,22,2,135000.0
0,0,6.0,0,0,0,0,0,4,11,55000.0
1,3,11.0,3,3,0,0,0,56,20,120000.0
0,0,3.0,2,4,0,0,0,10,36,40000.0
1,0,18.0,3,4,0,0,57,58,2,105000.0
0,2,25.0,2,0,0,0,1,4,2,170000.0
1,0,7.0,0,4,0,0,0,18,5,75000.0
0,0,12.0,4,1,0,0,0,59,8,65000.0
1,3,22.0,0,0,0,0,0,35,20,160000.0
1,0,1.0,2,4,0,0,3,13,17,35000.0
0,2,10.0,3,0,0,0,76,77,2,90000.0
1,0,20.0,2,0,0,0,0,9,5,110000.0
0,0,5.0,0,0,0,0,0,73,11,45000.0
1,2,8.0,2,4,0,0,16,4,2,95000.0
0,2,19.0,0,4,0,0,1,15,2,150000.0
1,0,5.0,1,0,0,0,3,43,17,50000.0
0,2,13.0,3,4,0,0,1,22,11,80000.0
0,0,3.0,3,4,0,0,42,53,78,50000.0
1,0,7.0,4,0,0,0,26,28,8,60000.0
0,2,14.0,4,4,0,0,1,4,5,100000.0
1,0,2.0,4,2,0,0,25,47,2,40000.0
0,2,15.0,4,0,0,0,1,51,19,110000.0
1,0,9.0,3,4,0,0,13,22,2,95000.0
0,0,22.0,3,4,0,0,57,58,5,130000.0
1,2,6.0,4,0,0,0,1,18,5,90000.0
0,0,0.5,4,4,0,0,3,4,5,35000.0
1,2,6.0,0,0,0,0,1,21,5,95000.0
0,0,15.0,4,4,0,0,0,79,2,65000.0
1,3,20.0,4,2,0,0,0,56,12,170000.0
0,0,3.0,0,4,0,0,3,15,31,45000.0
1,2,10.0,1,4,0,0,1,16,2,120000.0
0,0,17.0,2,0,0,0,0,10,2,100000.0
1,2,25.0,3,3,0,0,0,6,4,180000.0
0,0,5.0,0,4,0,0,3,9,5,50000.0
1,0,11.0,2,4,0,0,25,37,2,80000.0
0,3,16.0,3,3,0,0,0,1,20,140000.0
