Gender,Education_Level,Years_of_Experience,Country,Race,Job_Title,Salary
1,0,5.0,3,4,173,90000.0
0,2,3.0,4,2,15,65000.0
1,3,15.0,1,4,141,150000.0
0,0,7.0,4,2,112,60000.0
1,2,20.0,4,0,23,200000.0
1,0,2.0,4,2,90,55000.0
0,2,12.0,4,0,103,120000.0
1,0,4.0,2,0,115,80000.0
0,0,1.0,2,0,91,45000.0
1,3,10.0,0,4,162,110000.0
1,2,3.0,3,4,172,75000.0
0,0,18.0,3,0,45,140000.0
1,0,6.0,2,0,38,65000.0
0,2,14.0,4,1,106,130000.0
1,0,2.0,1,0,11,40000.0
1,0,16.0,2,0,99,125000.0
0,2,7.0,4,0,93,90000.0
1,3,12.0,3,3,127,115000.0
0,0,0.0,3,0,16,35000.0
1,0,22.0,0,0,113,180000.0
0,2,5.0,2,0,4,80000.0
1,2,19.0,3,4,187,190000.0
1,0,2.0,3,0,50,50000.0
0,0,9.0,2,4,109,60000.0
1,2,13.0,4,1,39,140000.0
0,0,3.0,1,4,171,45000.0
0,2,11.0,0,0,175,110000.0
1,0,1.0,0,0,63,40000.0
0,3,15.0,1,1,123,140000.0
1,2,6.0,2,0,102,90000.0
0,0,4.0,3,4,1,55000.0
1,2,3.0,4,2,17,75000.0
0,0,10.0,1,4,94,65000.0
1,3,20.0,4,2,141,170000.0
1,0,2.0,0,0,182,45000.0
0,0,7.0,3,4,44,60000.0
1,2,14.0,2,4,105,115000.0
0,0,1.0,1,0,14,40000.0
1,0,21.0,2,4,114,160000.0
0,2,5.0,3,0,184,80000.0
1,2,18.0,1,1,98,190000.0
1,0,3.0,2,0,95,60000.0
0,0,8.0,3,0,2,45000.0
1,2,13.0,3,0,177,130000.0
0,0,2.0,4,4,8,40000.0
1,0,5.0,0,0,0,75000.0
0,2,16.0,3,4,31,180000.0
1,3,11.0,0,0,162,120000.0
1,0,0.0,4,0,43,35000.0
0,0,22.0,2,0,10,130000.0
1,2,7.0,0,4,6,85000.0
0,0,12.0,2,4,36,60000.0
1,2,19.0,0,0,186,200000.0
0,0,3.0,1,1,42,50000.0
1,0,9.0,2,0,115,95000.0
0,2,2.0,1,4,185,65000.0
1,3,17.0,4,2,127,140000.0
0,0,4.0,1,4,170,55000.0
1,2,7.0,1,0,103,105000.0
0,2,23.0,4,1,32,170000.0
1,0,3.0,2,0,90,50000.0
0,0,12.0,2,0,45,80000.0
1,3,21.0,2,4,126,180000.0
1,0,1.0,0,4,53,35000.0
0,2,10.0,2,0,21,90000.0
1,0,19.0,0,4,49,120000.0
0,0,5.0,1,0,12,45000.0
1,2,8.0,1,0,5,90000.0
0,2,18.0,1,4,129,150000.0
1,0,6.0,4,2,188,65000.0
0,0,11.0,4,0,109,70000.0
1,3,16.0,3,3,110,190000.0
1,0,2.0,2,0,181,40000.0
0,2,14.0,1,1,9,120000.0
1,0,10.0,4,0,106,95000.0
0,0,22.0,4,4,99,160000.0
1,2,6.0,4,1,165,100000.0
0,2,20.0,1,1,47,180000.0
0,0,3.0,0,4,7,55000.0
1,0,8.0,3,0,180,70000.0
0,2,13.0,4,4,15,80000.0
1,0,0.0,0,0,117,30000.0
0,0,2.0,0,0,62,40000.0
0,2,10.0,3,4,37,95000.0
1,0,2.0,1,4,52,45000.0
0,0,15.0,4,2,44,80000.0
1,2,21.0,1,0,156,135000.0
0,0,6.0,0,0,91,55000.0
1,3,11.0,3,3,101,120000.0
0,0,3.0,2,4,112,40000.0
1,0,18.0,3,4,179,105000.0
0,2,25.0,2,0,145,170000.0
1,0,7.0,0,4,4,75000.0
0,0,12.0,4,1,183,65000.0
1,3,22.0,0,0,111,160000.0
1,0,1.0,2,4,83,35000.0
0,2,10.0,3,0,107,90000.0
1,0,20.0,2,0,97,110000.0
0,0,5.0,0,0,36,45000.0
1,2,8.0,2,4,104,95000.0
0,2,19.0,0,4,133,150000.0
1,0,5.0,1,0,87,50000.0
0,2,13.0,3,4,154,80000.0
0,0,3.0,3,4,20,50000.0
1,0,7.0,4,0,51,60000.0
0,2,14.0,4,4,142,100000.0
1,0,2.0,4,2,13,40000.0
0,2,15.0,4,0,131,110000.0
1,0,9.0,3,4,176,95000.0
0,0,22.0,3,4,178,130000.0
1,2,6.0,4,0,121,90000.0
0,0,0.5,4,4,68,35000.0
1,2,6.0,0,0,129,95000.0
0,0,15.0,4,4,96,65000.0
1,3,20.0,4,2,100,170000.0
0,0,3.0,0,4,67,45000.0
1,2,10.0,1,4,152,120000.0
0,0,17.0,2,0,115,100000.0
1,2,25.0,3,3,31,180000.0
0,0,5.0,0,4,72,50000.0
1,0,11.0,2,4,10,80000.0
0,3,16.0,3,3,162,140000.0
1,0,2.0,3,4,53,40000.0
0,2,9.0,4,1,132,95000.0
1,0,18.0,3,4,116,110000.0
0,0,4.0,4,4,91,50000.0
1,2,8.0,1,4,164,105000.0
0,2,21.0,3,4,32,160000.0
1,0,3.0,2,4,86,45000.0
0,2,12.0,1,1,166,100000.0
1,3,22.0,4,2,158,160000.0
1,0,1.0,3,3,80,35000.0
0,0,10.0,1,1,2,55000.0
1,2,19.0,1,1,156,140000.0
0,0,4.0,1,4,70,50000.0
1,0,7.0,0,0,60,60000.0
0,2,14.0,0,4,153,120000.0
1,0,2.0,4,4,55,40000.0
0,2,13.0,0,4,145,110000.0
1,0,5.0,4,2,83,50000.0
1,0,20.0,2,4,160,135000.0
0,2,1.5,0,0,71,40000.0
1,0,8.0,0,0,121,90000.0
0,3,16.0,2,0,126,150000.0
