Gender,Education_Level,Years_of_Experience,Country,Race,Job_Title,Salary
1,0,5.0,3,9,63,90000.0
0,3,3.0,4,5,3,65000.0
1,5,15.0,1,9,56,150000.0
0,0,7.0,4,5,43,60000.0
1,3,20.0,4,1,9,200000.0
1,0,2.0,4,5,32,55000.0
0,3,12.0,4,1,38,120000.0
1,0,4.0,2,6,46,80000.0
0,0,1.0,2,4,33,45000.0
1,5,10.0,0,2,49,110000.0
1,3,3.0,3,8,62,75000.0
1,0,6.0,2,6,11,65000.0
0,3,14.0,4,0,39,130000.0
1,0,16.0,2,4,36,125000.0
0,3,7.0,4,1,35,90000.0
1,5,12.0,3,7,57,115000.0
1,0,22.0,0,1,44,180000.0
0,3,5.0,2,6,48,80000.0
1,3,19.0,3,9,10,190000.0
1,3,13.0,4,0,12,140000.0
0,3,11.0,0,1,64,110000.0
1,0,1.0,0,1,29,40000.0
1,3,6.0,2,6,37,90000.0
1,3,3.0,4,5,4,75000.0
0,0,10.0,1,9,6,65000.0
1,5,20.0,4,5,56,170000.0
0,0,7.0,3,9,24,60000.0
1,3,14.0,2,9,57,115000.0
1,0,21.0,2,9,45,160000.0
1,3,18.0,1,3,10,190000.0
0,3,16.0,3,8,9,180000.0
1,5,11.0,0,1,49,120000.0
0,0,3.0,1,3,16,50000.0
1,0,9.0,2,6,46,95000.0
1,5,17.0,4,5,57,140000.0
0,0,4.0,1,9,61,55000.0
1,3,7.0,1,1,38,105000.0
0,3,23.0,4,0,10,170000.0
1,0,3.0,2,4,32,50000.0
1,5,21.0,2,9,49,180000.0
0,3,10.0,2,6,5,90000.0
0,0,5.0,1,1,2,45000.0
0,3,18.0,1,9,50,150000.0
1,0,6.0,4,5,65,65000.0
1,5,16.0,3,7,41,190000.0
1,0,10.0,4,1,39,95000.0
0,0,22.0,4,9,36,160000.0
1,3,6.0,4,0,60,100000.0
0,0,3.0,0,9,1,55000.0
0,3,13.0,4,9,3,80000.0
1,0,0.0,0,1,47,30000.0
0,0,15.0,4,5,24,80000.0
1,3,21.0,1,1,58,135000.0
0,0,6.0,0,1,33,55000.0
0,0,3.0,2,9,43,40000.0
0,3,25.0,2,4,54,170000.0
1,0,7.0,0,2,48,75000.0
1,5,22.0,0,1,42,160000.0
