Gender,Education_Level,Years_of_Experience,Country,Race,Job_Title_Vec_1,Job_Title_Vec_2,Job_Title_Vec_3,Job_Title_Vec_4,Job_Title_Vec_5,Salary
1,0,5.0,3,9,0,0,0,0,1,90000.0
0,3,3.0,4,5,0,0,0,0,2,65000.0
1,5,15.0,1,9,0,0,0,0,3,150000.0
0,0,7.0,4,5,0,0,0,0,4,60000.0
1,3,20.0,4,1,0,0,0,0,5,200000.0
1,0,2.0,4,5,0,0,0,0,6,55000.0
0,3,12.0,4,1,0,0,0,0,7,120000.0
1,0,4.0,2,6,0,0,0,0,8,80000.0
0,0,1.0,2,4,0,0,0,0,9,45000.0
1,5,10.0,0,2,0,0,0,0,10,110000.0
1,3,3.0,3,8,0,0,0,0,11,75000.0
0,0,18.0,3,1,0,0,0,0,12,140000.0
1,0,6.0,2,6,0,0,0,0,13,65000.0
0,3,14.0,4,0,0,0,0,0,14,130000.0
1,0,2.0,1,1,0,0,0,0,15,40000.0
1,0,16.0,2,4,0,0,0,0,16,125000.0
0,3,7.0,4,1,0,0,0,0,17,90000.0
1,5,12.0,3,7,0,0,0,0,18,115000.0
0,0,0.0,3,1,0,0,0,0,19,35000.0
1,0,22.0,0,1,0,0,0,0,20,180000.0
0,3,5.0,2,6,0,0,0,0,21,80000.0
1,3,19.0,3,9,0,0,0,0,22,190000.0
1,0,2.0,3,1,0,0,0,0,23,50000.0
0,0,9.0,2,9,0,0,0,0,24,60000.0
1,3,13.0,4,0,0,0,0,0,25,140000.0
0,0,3.0,1,9,0,0,0,0,26,45000.0
0,3,11.0,0,1,0,0,0,0,27,110000.0
1,0,1.0,0,1,0,0,0,0,28,40000.0
0,5,15.0,1,3,0,0,0,0,29,140000.0
1,3,6.0,2,6,0,0,0,0,30,90000.0
0,0,4.0,3,9,0,0,0,0,31,55000.0
1,3,3.0,4,5,0,0,0,0,32,75000.0
0,0,10.0,1,9,0,0,0,0,33,65000.0
1,5,20.0,4,5,0,0,0,0,3,170000.0
1,0,2.0,0,1,0,0,0,0,34,45000.0
0,0,7.0,3,9,0,0,0,0,35,60000.0
1,3,14.0,2,9,0,0,0,0,36,115000.0
0,0,1.0,1,1,0,0,0,0,37,40000.0
1,0,21.0,2,9,0,0,0,0,38,160000.0
0,3,5.0,3,1,0,0,0,0,39,80000.0
1,3,18.0,1,3,0,0,0,0,40,190000.0
1,0,3.0,2,6,0,0,0,0,41,60000.0
0,0,8.0,3,1,0,0,0,0,42,45000.0
1,3,13.0,3,1,0,0,0,0,43,130000.0
0,0,2.0,4,9,0,0,0,0,44,40000.0
1,0,5.0,0,1,0,0,0,0,45,75000.0
0,3,16.0,3,8,0,0,0,0,46,180000.0
1,5,11.0,0,1,0,0,0,0,10,120000.0
1,0,0.0,4,1,0,0,0,0,47,35000.0
0,0,22.0,2,6,0,0,0,0,48,130000.0
1,3,7.0,0,2,0,0,0,0,49,85000.0
0,0,12.0,2,9,0,0,0,0,50,60000.0
1,3,19.0,0,1,0,0,0,0,51,200000.0
0,0,3.0,1,3,0,0,0,0,52,50000.0
1,0,9.0,2,6,0,0,0,0,8,95000.0
0,3,2.0,1,9,0,0,0,0,53,65000.0
1,5,17.0,4,5,0,0,0,0,18,140000.0
0,0,4.0,1,9,0,0,0,0,54,55000.0
1,3,7.0,1,1,0,0,0,0,7,105000.0
0,3,23.0,4,0,0,0,0,0,55,170000.0
1,0,3.0,2,4,0,0,0,0,6,50000.0
0,0,12.0,2,6,0,0,0,0,12,80000.0
1,5,21.0,2,9,0,0,0,0,56,180000.0
1,0,1.0,0,2,0,0,0,0,57,35000.0
0,3,10.0,2,6,0,0,0,0,58,90000.0
1,0,19.0,0,2,0,0,0,0,59,120000.0
0,0,5.0,1,1,0,0,0,0,60,45000.0
1,3,8.0,1,1,0,0,0,0,61,90000.0
0,3,18.0,1,9,0,0,0,0,62,150000.0
